[2020.04.06 11:57:11:960] EVENT,start thread Logger 32 {32} [4729]
[2020.04.06 11:57:16:844] EVENT,reg state change from Not initialized to Unregistered [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {45} [4729]
[2020.04.06 11:57:16:845] EVENT,build uri rule 4 [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {45} [4729]
[2020.04.06 11:57:16:845] EVENT, build leg rule 16 [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {45} [4729]
[2020.04.06 11:57:16:845] EVENT, build leg rule 18 [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {45} [4729]
[2020.04.06 11:57:16:845] EVENT,sending to p 46.105.182.20 (805) [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {45} [4729]
[2020.04.06 11:57:16:845] SEND,  to 46.105.182.20:5060 from port 14292
REGISTER sip:46.105.182.20 SIP/2.0
Via: SIP/2.0/UDP 176.100.192.174:14292;rport;branch=z9hG4bK-17p1027162239262504635r
From: <sip:JSSIP@46.105.182.20>;tag=8g3330889867103573264m
To: <sip:JSSIP@46.105.182.20>
Call-ID: 6e5339952673226462088k20686rmwp
CSeq: 5546 REGISTER
Max-Forwards: 70
Expires: 0
Authorization: Digest username="JSSIP",realm="VoipSwitch",nonce="26d22eb90ecee2a106111109704573914114",uri="sip:46.105.182.20",response="6ecd52734f2458b1b206557bcdd73d80",algorithm=MD5
Contact: <sip:JSSIP@176.100.192.174:14292>
X-UT: j
User-Agent: MizuJVoIP/7.6.19061
X-FinalUA: JVoIP
X-DeviceID: aPBag5AG
Supported: replaces
Allow: ACK,PRACK,BYE,CANCEL,INVITE,UPDATE,MESSAGE,INFO,OPTIONS,SUBSCRIBE,NOTIFY,REFER
Accept: application/sdp,application/dtmf-relay,text/plain
Content-Length: 0

 [mt: 13693] {45} [4729]
[2020.04.06 11:57:16:846] EVENT,reg state change from Not initialized to Unregistered [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {45} [4729]
[2020.04.06 11:57:16:846] EVENT,reg state changed from [yes] to [unregistered] () {45} [4729]
[2020.04.06 11:57:16:846] EVENT,NOTIFICATION_XRSS,STATUS,0,Unregister,+,JSSIP,1,+,[6e5339952673226462088k20686rmwp],1,6,0,0,0,0,0, {45} [4729]
[2020.04.06 11:57:16:846] EVENT,STATUS,0,Unregister,+,JSSIP,1,+,[6e5339952673226462088k20686rmwp],1,6,0,0,0,0,0, [mt: 13693] {45} [4729]
[2020.04.06 11:57:16:846] EVENT,build uri rule 6677 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:16:847] EVENT, build leg rule 16 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:16:847] EVENT, build leg rule 1901a  (x) [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:16:847] EVENT,sending to p 46.105.182.20 (768) [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:16:847] SEND,  to 46.105.182.20:5060 from port 14292
SUBSCRIBE sip:+@46.105.182.20 SIP/2.0
Via: SIP/2.0/UDP 176.100.192.174:14292;rport;branch=z9hG4bK-17p3823639465128168317r
From: <sip:JSSIP@46.105.182.20>;tag=16g2770579009458563649m
To: <sip:+@46.105.182.20>
Call-ID: 14e1830458300895194552k20688rmwp
CSeq: 12250 SUBSCRIBE
Max-Forwards: 70
Event: presence
Expires: 0
Authorization: Digest username="JSSIP",realm="VoipSwitch",nonce="26d22f260ec26cb606111109704573914114",uri="sip:+@46.105.182.20",response="18bde56f578820933f8c40fe90cebb3a",algorithm=MD5
Contact: <sip:JSSIP@176.100.192.174:14292>
X-UT: j
User-Agent: MizuJVoIP/7.6.19061
X-FinalUA: JVoIP
X-DeviceID: aPBag5AG
Supported: replaces
Allow: ACK,PRACK,BYE,CANCEL,INVITE,UPDATE,MESSAGE,INFO,OPTIONS,SUBSCRIBE,NOTIFY,REFER
Content-Length: 0

 [mt: 13693] {45} [4729]
[2020.04.06 11:57:16:847] EVENT, presence update not sent to any peer [mt: 13693] {45} [4729]
[2020.04.06 11:57:16:876] REC,46.105.182.20:5060 on port 14292
SIP/2.0 200 OK
CSeq: 5546 REGISTER
Via: SIP/2.0/UDP 192.168.55.101:14292;rport;branch=z9hG4bK-17p1027162239262504635r
From: <sip:JSSIP@46.105.182.20>;tag=8g3330889867103573264m
Call-ID: 6e5339952673226462088k20686rmwp
To: <sip:JSSIP@46.105.182.20>;tag=115743651312629
Content-Length: 0

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:16:876] EVENT,existing ep found for message [mt: 13693] {50} [4729]
[2020.04.06 11:57:16:877] EVENT,cseq set1 to 5546 [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {50} [4729]
[2020.04.06 11:57:16:877] EVENT,set totag 1 to: 115743651312629 [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {50} [4729]
[2020.04.06 11:57:16:877] REC,46.105.182.20:5060 on port 14292
SIP/2.0 100 Trying
CSeq: 12250 SUBSCRIBE
Via: SIP/2.0/UDP 192.168.55.101:14292;rport;branch=z9hG4bK-17p3823639465128168317r
From: <sip:JSSIP@46.105.182.20>;tag=16g2770579009458563649m
Call-ID: 14e1830458300895194552k20688rmwp
To: <sip:+@46.105.182.20>
Contact: <sip:+@46.105.182.20>
Content-Length: 0

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:16:878] EVENT,existing ep found for message [mt: 13693] {50} [4729]
[2020.04.06 11:57:16:878] EVENT,cseq set1 to 12250 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:16:878] REC,46.105.182.20:5060 on port 14292
SIP/2.0 401 Unauthorised
CSeq: 12250 SUBSCRIBE
Via: SIP/2.0/UDP 192.168.55.101:14292;rport;branch=z9hG4bK-17p3823639465128168317r
From: <sip:JSSIP@46.105.182.20>;tag=16g2770579009458563649m
Call-ID: 14e1830458300895194552k20688rmwp
To: <sip:+@46.105.182.20>;tag=115743651312629
Contact: <sip:JSSIP@46.105.182.20>
Expires: 3600
Content-Length: 0
WWW-Authenticate: DIGEST realm="VoipSwitch", nonce="26d23df510639f7406111109704574314114"

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:16:878] EVENT,existing ep found for message [mt: 13693] {50} [4729]
[2020.04.06 11:57:16:879] EVENT,cseq set1 to 12250 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:16:879] EVENT,set totag 1 to: 115743651312629 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:16:879] EVENT,      get parameter (from 10014) altauth_JSSIP=4 {50} [4729]
[2020.04.06 11:57:16:879] EVENT,resend last request [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:16:879] EVENT,build uri rule 6677 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:16:880] EVENT, build leg rule 16 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:16:880] EVENT, build leg rule 1901a  (x) [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:16:880] EVENT,auth after pwd parameterA JSSIP:VoipSwitch:wAXNEBaXDJ eeace1f440ea9c8ea4bb0ba705770da9 sip:+@46.105.182.20 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:16:880] EVENT, auth params: m1str=eeace1f440ea9c8ea4bb0ba705770da9,auth_nonce=26d23df510639f7406111109704574314114,username=JSSIP,auth_realm=VoipSwitch,method=SUBSCRIBE,uri=sip:+@46.105.182.20 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:16:880] EVENT,sending to p 46.105.182.20 (750) [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:16:880] SEND,  to 46.105.182.20:5060 from port 14292
SUBSCRIBE sip:+@46.105.182.20 SIP/2.0
Via: SIP/2.0/UDP 176.100.192.174:14292;rport;branch=z9hG4bK-17p690901074205351098r
From: <sip:JSSIP@46.105.182.20>;tag=16g2770579009458563649m
To: <sip:+@46.105.182.20>
Call-ID: 14e1830458300895194552k20688rmwp
CSeq: 12251 SUBSCRIBE
Max-Forwards: 70
Expires: 0
Authorization: Digest username="JSSIP",realm="VoipSwitch",nonce="26d23df510639f7406111109704574314114",uri="sip:+@46.105.182.20",response="6574810b1c202ce9ce432445610fa114",algorithm=MD5
Contact: <sip:JSSIP@176.100.192.174:14292>
X-UT: j
User-Agent: MizuJVoIP/7.6.19061
X-FinalUA: JVoIP
X-DeviceID: aPBag5AG
Supported: replaces
Allow: ACK,PRACK,BYE,CANCEL,INVITE,UPDATE,MESSAGE,INFO,OPTIONS,SUBSCRIBE,NOTIFY,REFER
Content-Length: 0

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:16:893] EVENT,NOTIFICATION_XRSS,STOP,api {36} [4729]
[2020.04.06 11:57:16:907] EVENT,save settings wpb [wpmain] {41} [4729]
[2020.04.06 11:57:16:908] EVENT,save settings wp [wpmain] {41} [4729]
[2020.04.06 11:57:16:909] EVENT,write file D:\My Project\SIP_FELGDENT\mwphonedata\u87wpcfg.dat (211) {41} [4729]
[2020.04.06 11:57:16:909] EVENT,config saved 211 [wpmain] {41} [4729]
[2020.04.06 11:57:16:910] REC,46.105.182.20:5060 on port 14292
SIP/2.0 489 Bad Event
CSeq: 12251 SUBSCRIBE
Via: SIP/2.0/UDP 192.168.55.101:14292;rport;branch=z9hG4bK-17p690901074205351098r
From: <sip:JSSIP@46.105.182.20>;tag=16g2770579009458563649m
Call-ID: 14e1830458300895194552k20688rmwp
To: <sip:+@46.105.182.20>;tag=115743651312660
Contact: <sip:+@46.105.182.20>
Content-Length: 0

 [mt: 13693] {50} [4729]
[2020.04.06 11:57:16:911] EVENT,existing ep found for message [mt: 13693] {50} [4729]
[2020.04.06 11:57:16:912] EVENT,cseq set1 to 12251 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:16:913] EVENT,set totag 1 to: 115743651312660 [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {50} [4729]
[2020.04.06 11:57:16:914] EVENT,write file D:\My Project\SIP_FELGDENT\mwphonedata\u87wpcfgex.dat (2503) {41} [4729]
[2020.04.06 11:57:16:944] EVENT,destroying old endpoint [mt: 13693] {45} [4729]
[2020.04.06 11:57:16:945] EVENT, destroying [ep: 1 2e4354309789759581837k20685rmwp Finished 13693] {45} [4729]
[2020.04.06 11:57:16:945] EVENT,session disc because endpoint destroy [ep: 1 2e4354309789759581837k20685rmwp Finished 13693] {45} [4729]
[2020.04.06 11:57:16:946] EVENT,switching state from Finished to Deletable from 1 [ep: 1 2e4354309789759581837k20685rmwp Finished 13693] {45} [4729]
[2020.04.06 11:57:16:947] EVENT,set deleteat 444 to 120000 [ep: 1 2e4354309789759581837k20685rmwp Finished 13693] {45} [4729]
[2020.04.06 11:57:16:948] EVENT,destroying old endpoint [mt: 13693] {45} [4729]
[2020.04.06 11:57:16:949] EVENT, destroying [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {45} [4729]
[2020.04.06 11:57:16:949] EVENT,reg state change from Not initialized to Unregistered [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {45} [4729]
[2020.04.06 11:57:16:950] EVENT,session disc because endpoint destroy [ep: 0 6e5339952673226462088k20686rmwp Registering 13693] {45} [4729]
[2020.04.06 11:57:16:951] EVENT,switching state from Registering to Deletable from 1 [ep: 0 6e5339952673226462088k20686rmwp Finished 13693] {45} [4729]
[2020.04.06 11:57:16:952] EVENT,set deleteat 444 to 120000 [ep: 0 6e5339952673226462088k20686rmwp Finished 13693] {45} [4729]
[2020.04.06 11:57:16:953] EVENT,destroying old endpoint [mt: 13693] {45} [4729]
[2020.04.06 11:57:16:953] EVENT, destroying [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:16:954] EVENT,session disc because endpoint destroy [ep: 0 10e1780113570031029837k20687rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:16:955] EVENT,switching state from Subscribe to Deletable from 1 [ep: 0 10e1780113570031029837k20687rmwp Finished 13693] {45} [4729]
[2020.04.06 11:57:16:956] EVENT,set deleteat 4 to 120000 [ep: 0 10e1780113570031029837k20687rmwp Finished 13693] {45} [4729]
[2020.04.06 11:57:16:956] EVENT,set deleteat 444 to 120000 [ep: 0 10e1780113570031029837k20687rmwp Finished 13693] {45} [4729]
[2020.04.06 11:57:16:957] EVENT,destroying old endpoint [mt: 13693] {45} [4729]
[2020.04.06 11:57:16:958] EVENT, destroying [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:16:959] EVENT,session disc because endpoint destroy [ep: 0 14e1830458300895194552k20688rmwp Subscribe 13693] {45} [4729]
[2020.04.06 11:57:16:959] EVENT,switching state from Subscribe to Deletable from 1 [ep: 0 14e1830458300895194552k20688rmwp Finished 13693] {45} [4729]
[2020.04.06 11:57:16:960] EVENT,set deleteat 444 to 120000 [ep: 0 14e1830458300895194552k20688rmwp Finished 13693] {45} [4729]
[2020.04.06 11:57:16:961] EVENT,unregistering finished on stop [mt: 13693] {45} [4729]
[2020.04.06 11:57:16:962] EVENT,sip stack run terminating (11)... [mt: 13693] {45} [4729]
[2020.04.06 11:57:16:963] EVENT, hangup line -2 because mainterminated [mt: 13693] {45} [4729]
[2020.04.06 11:57:16:964] EVENT, nothing to hangup [mt: 13693] {45} [4729]
[2020.04.06 11:57:16:964] EVENT,unreg skip because it was done recenly on cleanup [mt: 13693] {45} [4729]
[2020.04.06 11:57:16:965] EVENT,sipstack destroy c [mt: 13693] {45} [4729]
[2020.04.06 11:57:16:966] EVENT,unreg skip because it was done recenly on destroy [mt: 13693] {45} [4729]
[2020.04.06 11:57:16:967] EVENT,sip stack run terminated (must 11) [mt: 13693] {45} [4729]
